K_over_S,t_25,t_101,t_197,t_274,t_523,t_772,t_1000,t_1500,t_1769
1.12,0.229707547448865,0.193697911532738,0.192052957639085,0.192712305476502,0.195114452047863,0.198726813242065,0.200486809646508,0.199694574610144,0.211783901389751
1.13,0.236758455116584,0.193763748785153,0.191427578421034,0.191291371609413,0.193281238826511,0.196925875765356,0.198601708998466,0.197916984979988,0.210083706828349
1.14,0.243451793895926,0.1941929201156,0.191055241915756,0.190199983612148,0.19140321190348,0.195005692054966,0.196624227273743,0.196091342624105,0.208330394721768
1.15,0.249823704554021,0.194890411599537,0.190893710112894,0.189420285352481,0.189418559059102,0.192936072445637,0.194534504765158,0.194207080112987,0.206706045046809
1.16,0.255904565681483,0.195787116171029,0.190907436198652,0.188956018286662,0.187247669508181,0.190679028380382,0.192309214004879,0.192252399087972,0.205206434066508
1.17,0.261720217421534,0.196831979718688,0.191066692429397,0.188500322591201,0.185452799923329,0.18879536134949,0.190386533117868,0.190525026539296,0.203828775302026
1.18,0.26729286920537,0.197986765873408,0.191346687235799,0.188002372159603,0.184005414030062,0.187287542483584,0.188766893733299,0.189021106096879,0.202570203948698
1.19,0.272641785764873,0.199222494465995,0.191726758523281,0.187386652830164,0.182893432556957,0.186167617506172,0.187454078562985,0.187738097930517,0.201427810868922
1.2,0.277783814213637,0.200516972725289,0.19218967300687,0.186955729066923,0.181916289766954,0.185045165621543,0.186135829648238,0.186462320956245,0.200272581678126
1.21,0.282733795024981,0.201853054260006,0.192721034288437,0.186699318481492,0.181054955353739,0.183903071689744,0.184797937748568,0.185185257415804,0.199098950904459
1.22,0.287504886744338,0.203217391784228,0.193308790607941,0.186620712148089,0.180290853567957,0.182719544258246,0.183424159813509,0.183897710346032,0.197900812156575
1.23,0.292108825620505,0.204599530576794,0.193942829074741,0.186741210512094,0.179605028624467,0.18146684421485,0.181995636732251,0.182589645056111,0.196671446146907
1.24,0.296556135455992,0.205991240821623,0.194614642702488,0.186903483721635,0.179019842277156,0.180329455601169,0.180664197223749,0.181365006683629,0.195516254471147
1.25,0.300856298899362,0.207386019881583,0.195317057678941,0.187102238496042,0.17852327760307,0.179296094284728,0.179422809437599,0.180218358341431,0.194430891832497
1.26,0.30501789852856,0.208778717098839,0.19604400997561,0.187332777364132,0.178104950239405,0.178356696234817,0.178264900128285,0.179144594174886,0.193411228552096
1.27,0.309048734016973,0.210165248048576,0.19679036215197,0.187590936837046,0.177755853391736,0.177502278678574,0.177184347049257,0.178138929026079,0.192453348979739
1.28,0.312955920179873,0.211542374859012,0.197551752820387,0.187873029467416,0.177468147558016,0.176724816237207,0.176175464256995,0.177196885821731,0.191553547730218
1.29,0.316745969600088,0.212907535850551,0.198324472633615,0.188175790644582,0.177234986360199,0.176017130962413,0.175232982733176,0.176314281444257,0.190708324254422
1.3,0.320424862713076,0.214258712360329,0.199105361825317,0.188496330412004,0.177050371661173,0.17537279505321,0.17435202813413,0.175487211688289,0.189914376171053
1.31,0.323998107615458,0.215594323864126,0.199891725293285,0.18883209025252,0.176909032537566,0.174786045000271,0.173528097008035,0.174712035773289,0.189168591711218
1.32,0.327470791392177,0.216913144818303,0.200681261992941,0.189180804591721,0.176806323769256,0.174251705937706,0.172757032456897,0.173985360773819,0.188468041564026
1.33,0.330847624397124,0.218214238307693,0.201472006035163,0.18954046666752,0.176738140363131,0.173765125053485,0.172034999941092,0.173304026239844,0.187809970356119
1.34,0.334132978643051,0.219496902794833,0.202262277385136,0.189909298370402,0.176700845304347,0.173322113000799,0.171358463711536,0.172665089207233,0.187191787951085
1.35,0.337330921238061,0.220760629154435,0.203050640461303,0.190285723651362,0.176691208263588,0.17291889235193,0.170724164194094,0.172065809740784,0.186611060715074
1.36,0.340445243634224,0.222005065835215,0.203835869255863,0.190668345108239,0.176706353414373,0.172552052235933,0.170129096530981,0.171503637106319,0.186065502861763
1.37,0.343479487317148,0.223229990483445,0.204616917856363,0.191055923386583,0.176743714854269,0.172218508397209,0.169570490395496,0.170976196632423,0.185552967962343
1.38,0.346436966456393,0.224435286733461,0.205392895455179,0.191447359062169,0.176800998396264,0.171915468001293,0.169045791132084,0.170481277294637,0.185071440683497
1.39,0.349320787948617,0.225620925152101,0.206163045100321,0.191841676705192,0.176876148715747,0.171640398595679,0.168552642227765,0.170016820033643,0.18461902879785
1.4,0.352133869214456,0.226786947539441,0.206926725575243,0.192238010858514,0.176967321015716,0.171391000706832,0.168088869088881,0.169580906802991,0.184193955496267
1.41,0.354878954052124,0.227933453954302,0.207683395903946,0.192635593693124,0.177072856516471,0.171165183619914,0.167652464075473,0.169171750330152,0.183794552019251
1.42,0.357558626803365,0.229060591961469,0.208432602065595,0.19303374413218,0.177191261193056,0.170961043945439,0.167241572731696,0.168787684566182,0.183419250614917
1.43,0.360175325048306,0.230168547698145,0.209173965574403,0.193431858260691,0.177321187279281,0.170776846627885,0.166854481142497,0.168427155793404,0.18306657782325
1.44,0.362731351013566,0.231257538435704,0.209907173638871,0.193829400860712,0.177461417135578,0.170611008095647,0.166489604342741,0.168088714356583,0.182735148080148
1.45,0.365228881851135,0.232327806375064,0.210631970662144,0.194225897932308,0.177610849142464,0.17046208129049,0.166145475703884,0.167771006980698,0.182423657629898
1.46,0.367669978922871,0.233379613463189,0.21134815088437,0.194620930078305,0.177768485334658,0.170328742348357,0.165820737224315,0.167472769637121,0.18213087873079
1.47,0.370056596207124,0.234413237057544,0.212055552000184,0.195014126646554,0.177933420535107,0.170209778732677,0.165514130651841,0.167192820919574,0.181855654135551
1.48,0.372390587927701,0.235428966296743,0.212754049610985,0.195405160537059,0.178104832784805,0.170104078646789,0.165224489370131,0.16693005589132,0.181596891825719
1.49,0.374673715492323,0.236427099060957,0.213443552393709,0.195793743593223,0.178281974894993,0.170010621574073,0.164950730984762,0.166683440365519,0.18135355997705
1.5,0.376907653816158,0.237407939426088,0.214123997886037,0.196179622506805,0.178464166973851,0.169928469813577,0.164691850548619,0.166452005581347,0.181124682131255
1.51,0.379093997096515,0.238371795532277,0.214795348803255,0.196562575175168,0.178650789801297,0.169856760895421,0.164446914370575,0.166234843239175,0.180909332547724
1.52,0.38123426409633,0.239318977800889,0.215457589814666,0.196942407457196,0.178841278943584,0.16979470077466,0.164215054355534,0.166031100858786,0.180706631707353
1.53,0.383329902987157,0.240249797445055,0.21611072471806,0.197318950281021,0.179035119514571,0.169741557714674,0.16399546282783,0.165839977425113,0.180515741938938
1.54,0.385382295796145,0.241164565228073,0.216754773959783,0.197692057062595,0.179231841503446,0.169696656781903,0.163787387793725,0.165660719286248,0.180335863136842
1.55,0.387392762496295,0.242063590431233,0.217389772455403,0.198061601399219,0.179431015599517,0.169659374883015,0.163590128602154,0.1654926162684,0.180166228536648
1.56,0.389362564774681,0.242947179999015,0.21801576767235,0.198427475006595,0.179632249453941,0.169629136283586,0.163403031965976,0.165334997972004,0.180006100513126
1.57,0.391292909509479,0.243815637834514,0.218632817941307,0.198789585871819,0.179835184326041,0.169605408554166,0.163225488308682,0.165187230212201,0.179854766362125
1.58,0.393184951983,0.24466926422234,0.219240990967676,0.199147856598054,0.180039492068444,0.169587698895443,0.163056928403846,0.16504871156526,0.179711534024623
1.59,0.395039798855129,0.245508355359708,0.219840362518344,0.199502222919602,0.180244872410823,0.169575550798976,0.162896820276441,0.164918869980275,0.179575727707191
1.6,0.396858510918869,0.246333202979382,0.220431015262257,0.19985263236855,0.180451050506617,0.169568541003987,0.162744666336449,0.16479715941217,0.179446683348333
1.61,0.398642105657329,0.247144094050664,0.221013037746192,0.200199043076456,0.180657774710821,0.169566276713629,0.162600000715958,0.164683056427916,0.179323743874292
